amazon_asin,amazon price,is_prime,in_stock,ebay_price,ebay_quantity,ebay_id
B00TB74CU2,$10.66,True,True,17.43,1,263324846070
B0032GEF3M,$8.00,True,True,13.19,1,263324846527
B00S3S7XZG,$12.71,True,True,20.69,1,263324846571
B01N8YW1EU,$10.75,True,True,17.57,1,263324846721
B00194Q7BC,$32.00,True,True,51.4,1,263324846828
B0718WN37L,$25.00,True,True,40.26,1,263324847396
B01MFDBP33,$27.88,True,True,44.84,1,263324847607
B073XNW89M,$8.99,True,True,14.77,1,263324847650
B00GWG63OS,$19.49,True,True,31.48,1,263324849550
B01LY9Y7PL,$33.99,True,True,54.57,1,263324849705
B073SYJ46G,,True,False,,0,263324850965
B0741FX68F,$16.95,True,True,27.44,1,263324852034
B06XH5VVXG,$12.88,True,True,20.96,1,263325533252
B0747G31KF,$16.79,True,True,27.19,1,263325533812
B00D98XPOI,$17.29,True,True,27.98,1,263325535427
B01IHZWIPY,,True,False,,0,263325538379
B06XJBBBPN,$12.97,True,True,21.11,1,263325538458
B01MTVKUOW,$53.99,True,True,86.4,1,263325538474
B01EK5HED6,$17.99,True,True,29.1,1,263325538780
B00WIPQY5A,$19.95,True,True,32.22,1,263325539348
B00U2WMWDO,$22.95,True,True,36.99,1,263325540197
B01E4YD306,$29.88,True,True,48.02,1,263325540380
B00G2FZH4G,$14.96,True,True,24.27,1,263325541162
B00XBNB0IY,$18.28,True,True,29.56,1,263325541455
B00068JBIS,$8.77,True,True,14.42,1,263325544858
B01IJTF8CI,$15.44,True,True,25.04,1,263325545816
B00QKGAOSQ,$17.97,True,True,29.06,1,263325546556
B0728C4YQM,$12.00,True,True,19.56,1,263326856969
B0002SQYT6,$6.42,True,True,10.68,1,263328006522
B000G72U0K,$3.37,True,True,6.57,1,263328006523
B000BODTS0,$4.36,True,True,7.7,1,263328007868
B000AMGYNA,$6.67,True,True,11.08,1,263328008549
B000BQYH6Q,$5.67,True,True,9.49,1,263328008586
B01MU7YV51,$7.99,True,True,13.18,1,263330244467
B01MG25VN1,$11.97,True,True,19.51,1,263330259298
B00U3G5BC8,$7.99,True,True,13.18,1,263330301147
B00H2BXJBC,$13.60,True,True,22.11,1,263330302434
B074PKZ7V6,$9.99,True,True,16.36,1,263330302693
B011LVDNC8,$4.95,True,True,8.36,1,263330302916
B06Y6LDF3F,$7.49,True,True,12.38,1,263330303096
B01IEZDW20,$9.99,True,True,16.36,1,263330303098
B075RWC9JN,$7.99,True,True,13.18,1,263330303543
B073FXGD3B,$3.99,True,True,7.27,1,263330304899
B06Y2M6K51,$7.25,True,True,12.0,1,263330305887
B06XSC36DX,$6.99,True,True,11.59,1,263333412529
B004YLJX7W,$6.99,True,True,11.59,1,263333414608
B01DU1L66C,,True,False,,0,263333416664
B002L6RB80,$5.08,True,True,8.55,1,263333417744
B00THMIFC2,$14.71,True,True,23.88,1,263333418050
B001AFB6YI,$5.31,True,True,8.91,1,263333418072
B073PWH52Y,$17.94,True,True,29.03,1,263333418346
B01EFJ75OU,$15.99,True,True,25.91,1,263333419158
B06XRV44K6,$7.99,True,True,13.18,1,263333419423
B06Y13HYJ5,$6.99,True,True,11.59,1,263333419570
B01NCVZRTH,,True,False,,0,263333419876
B01BJPL27O,$8.75,True,True,14.39,1,263333420246
B01N1Z2SU2,,True,False,,0,263333420456
B00SGHLOLS,,True,False,,0,263333420888
B01N1PZGNF,$14.95,True,True,24.26,1,263333421457
B073QX3FSY,$15.98,True,True,25.9,1,263343646506
B001KXZ808,$19.46,True,True,31.44,1,263345151052
B013X0NQT0,$19.99,True,True,32.28,1,263345151373
B00FJILVDS,$22.99,True,True,37.06,1,263345151706
B00B4FY8YO,$13.99,True,True,22.73,1,263345151728
B00A9MNZBK,$8.97,True,True,14.75,1,263345151730
B00837ZGRY,$15.99,True,True,25.91,1,263345151735
B074N265TY,$83.29,True,True,133.04,1,263345151911
B073FB5TPC,$26.90,True,True,43.28,1,263345152116
B01M2UJAT5,$45.59,True,True,73.03,1,263345152195
B01M3MYIFS,$11.99,True,True,19.55,1,263345152538
B011K4KH4I,$18.99,True,True,30.69,1,263345152695
B0713YJP5Z,$23.99,True,True,38.65,1,263345152765
B01BPJZZV8,,True,False,,0,263345152949
B01HI1W1V4,$16.80,True,True,27.2,1,263345152983
B00UZKZJZG,$13.97,True,True,22.7,1,263345153043
B00NWGZ4XC,$26.99,True,True,43.42,1,263345154355
B01N9QW620,$9.65,True,True,15.82,1,263345154605
B00ZYLQZEK,$28.99,True,True,46.61,1,263346779724
B000EH4UXM,$3.83,True,True,7.09,1,263350255978
B000CINB38,$6.04,True,True,10.07,1,263354198707
B000LF03QU,$12.18,True,True,19.85,1,263354198898
B0000AXRH5,$4.88,True,True,8.28,1,263354198969
B000EH4UZA,$11.52,True,True,18.8,1,263354199370
B007M5QG9U,$3.75,True,True,7.0,1,263354199664
B000EH0OQY,$8.37,True,True,13.78,1,263354200216
B002XUQ2DO,$21.19,True,True,34.19,1,263359369043
B002FRM1DA,$356.77,True,True,568.37,1,263359369398
B00IMMF64S,$12.87,True,True,20.95,1,263372531318
B01551DV86,$16.49,True,True,26.71,1,263372531437
B01MQ035AE,$6.99,True,True,11.59,1,263372531445
B01NCJTSW7,$21.99,True,True,35.46,1,263372533718
B072DV3MM5,$7.99,True,True,13.18,1,263373719592
B06XHTX6MJ,$87.65,True,True,139.98,1,263373724620
