amazon_asin,amazon price,is_prime,in_stock,ebay_price,ebay_quantity,ebay_id
B008B86O7Q,$9.99,True,True,125.46,1,142712485570
B00C813OPM,$11.99,True,True,127.74,1,142712486188
B011CVDK48,$27.99,True,True,145.93,1,142712487031
B008BLFHS0,$6.80,True,True,121.84,1,142712488009
B00M4FB0A8,$12.99,True,True,128.87,1,142712488294
B00YZOK9CG,$13.99,True,True,130.01,1,142712488896
B00JJYPATO,$9.99,True,True,125.46,1,142712489414
B01MR28P2Y,$5.99,True,True,120.91,1,142713572928
B075TCM8W2,$6.09,True,True,121.03,1,142713573158
B00H5A4I6K,$17.99,True,True,134.56,1,142713573364
B00Q7HV6NA,$27.99,True,True,145.93,1,142713573408
B00DRGW14M,$11.99,True,True,127.74,1,142713573509
B00EYK50UC,$6.99,True,True,122.05,1,142713573527
B00S05TU3K,$18.99,True,True,135.7,1,142713573536
B00LORNGRW,$17.99,True,True,134.56,1,142713573555
B00CZDHFHQ,$12.99,True,True,128.87,1,142713573597
B00MOYJBVO,$35.99,True,True,155.02,1,142713573657
B008BWFILU,$12.99,True,True,128.87,1,142713573704
B01ISCODMC,,True,False,,0,142713573761
B00JK026XK,$7.99,True,True,123.19,1,142713573921
B015D77O8K,$39.99,True,True,159.57,1,142713574107
B01G7M1V52,$40.99,True,True,160.71,1,142713574152
B01N22FCI7,$15.99,True,True,132.28,1,142713574153
B015S18BI8,,True,False,,0,142713574156
B00SNLIJ9W,$7.99,True,True,123.19,1,142713574252
B00A30KX22,$25.99,True,True,143.65,1,142713574282
B00NI7C6YU,$14.99,True,True,131.15,1,142713574326
B00A41T98O,$49.99,True,True,170.94,1,142713574330
B01DL9QB1I,$12.99,True,True,128.87,1,142713574442
B00XV720NE,$7.59,True,True,122.73,1,142713574511
B01GP6B9WA,$8.99,True,True,124.33,1,142713574515
B01GSWXEE2,$79.99,True,True,205.05,1,142713574547
B01M9CTUYU,$42.99,True,True,162.98,1,142713574564
B008DWPYO4,$7.99,True,True,123.19,1,142713574757
B00AUMJVE4,$25.99,True,True,143.65,1,142713574860
B00CDBC1YW,$24.99,True,True,142.52,1,142713575037
B00RCA2C3Y,$21.99,True,True,139.11,1,142713575397
B01IS082FI,$14.99,True,True,131.15,1,142713575731
B0788JW5WG,$9.99,True,True,125.46,1,142715695021
B01C7LEXDY,$7.99,True,True,123.19,1,142715695359
B009MC124K,$9.99,True,True,125.46,1,142715695553
B00N12RZDO,$11.99,True,True,127.74,1,142715695817
B00XFAARBE,$18.98,True,True,135.68,1,142715696034
B008GWRB1K,$19.99,True,True,136.83,1,142715696245
B01GGT2WJU,$29.99,True,True,148.2,1,142715696339
B00DTXTIBW,$8.49,True,True,123.76,1,142715696640
B0098B4RUQ,$9.99,True,True,125.46,1,142715696990
B01H43L23Y,$7.99,True,True,123.19,1,142715697001
B012HHJ7OS,$24.99,True,True,142.52,1,142715697422
B01N02K6YP,,True,False,,0,142715697467
B017S48CYQ,$8.87,True,True,124.19,1,142715712963
B074WHR1SW,$17.87,True,True,134.42,1,142715712984
B01DJP47FG,$19.87,True,True,136.7,1,142715713020
B071FV7XVM,$9.87,True,True,125.33,1,142715713028
B01LX4NIFK,$39.87,True,True,159.44,1,142715713094
B01K5M9DBY,$14.87,True,True,131.01,1,142715713128
B073DMVC9B,$15.87,True,True,132.15,1,142715713133
B072JNK72R,,True,False,,0,142715713160
B0725YVMB4,,True,False,,0,142715713199
B071JG4BNN,$19.87,True,True,136.7,1,142715713210
B01I5RCIUY,$9.87,True,True,125.33,1,142715713230
B017S3JF16,$11.87,True,True,127.6,1,142715713294
B06XDHSK4V,$29.87,True,True,148.07,1,142715713360
B073DQJFNG,$7.97,True,True,123.17,1,142715713384
B017S3MLHG,$19.77,True,True,136.58,1,142715713400
B01DJOZ78S,$14.87,True,True,131.01,1,142715713422
B017S44ARO,$9.87,True,True,125.33,1,142715713493
B01H0N5V1W,$7.87,True,True,123.05,1,142715713513
B01LXGGQOS,$19.87,True,True,136.7,1,142715713583
B017S5YC6W,$9.87,True,True,125.33,1,142715713616
B01D3U2IQW,$7.97,True,True,123.17,1,142715713675
B07176WJFB,$24.87,True,True,142.38,1,142715713709
B01MZ1XBGW,$25.97,True,True,143.63,1,142715713843
B072JNJ8JH,$24.87,True,True,142.38,1,142715713912
B01I40QM5E,$44.87,True,True,165.12,1,142715713963
B01AXBB2VG,$19.87,True,True,136.7,1,142715713973
B071ZT9VZK,$11.87,True,True,127.6,1,142715714015
B017RZ2UWG,$13.87,True,True,129.87,1,142715714046
B01K3M9ETW,,True,False,,0,142715714073
B01N7U50WG,,True,False,,0,142715714077
B01I40XARM,$29.97,True,True,148.18,1,142715714100
B01J8WKVIG,$8.87,True,True,124.19,1,142715714166
B01AYQJGN6,$22.87,True,True,140.11,1,142715714228
