photo,product_name,ebay_id,custom_label,price,quantity,no_of_times_sold,date_of_listing,is_active,margin_perc,minimum_margin,stock_level,status,flag
http://thumbs.ebaystatic.com/pict/2632885321286464_1.jpg,pureGLO Green Sandalwood Hair Comb | No Static Detangling Natural Aroma Handmade,263288532128,B01967S720,17.5,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885321516464_1.jpg,Koss UR-20 Home Headphones,263288532151,B00005N9D3,19.44,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885321666464_1.jpg,Midwest iCrate Folding Metal Dog Crates; Single Door & Double Door Dog Crates w/,263288532166,B000OXAER2,23.2,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885321686464_1.jpg,"Elmer's Disappearing Purple School Glue, Washable, 6 Pack, 0.21-ounce sticks",263288532168,B00143UIC2,23.2,0,-1,2017-10-30,False,,,,unmonitored,False
http://thumbs.ebaystatic.com/pict/2632885322566464_1.jpg,"Minwax 785004444 Paste Finishing Wax, 1-Pound, Natural",263288532256,B000LNOZAW,14.02,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885322576464_1.jpg,Krazy Glue KG82448R Instant Crazy Glue All Purpose Pen 0.106-Ounce,263288532257,B000RIZ9EW,14.02,0,-1,2017-10-30,False,,,,unmonitored,False
http://thumbs.ebaystatic.com/pict/2632885322596464_1.jpg,"Suffocation Warning Labels, 1,000 Labels, 2 Rolls (500 Per Roll), 2"" X 2"", Peel",263288532259,B00K3BJV74,10.69,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885322856464_1.jpg,Evapo-Rust ER004 Super Safe Rust Remover - 32oz.,263288532285,B00GRSOJSS,7.74,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885323186464_1.jpg,"Avery Ivory Matte Business Cards, 2 x 3.5 Inches, 100 Cards (27883)",263288532318,B00466H6X8,5.52,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885323196464_1.jpg,Liquid Wrench L1004 Light Machine OIl - 4 fl. Oz.,263288532319,B000FW62YQ,6.29,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885324136464_1.jpg,"Mobil 1 120758 Advanced Full Synthetic Motor Oil for 0W-20 5, 4.73L",263288532413,B00J00X5YO,29.43,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885324156464_1.jpg,"Gorilla Crystal Clear Gorilla Tape, 1.88” x 9yd., Clear",263288532415,B00EUGCT22,7.8,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885324236464_1.jpg,Liquid Wrench L112 Penetrating Oil Spray - 11 oz.,263288532423,B000ZZWNYG,7.42,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885324826464_1.jpg,B'laster 16-PB Penetrating Catalyst - 11-Ounces,263288532482,B000I2079E,4.75,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885324866464_1.jpg,Rain-X RX11806D Washer Fluid Additive - 16.9 fl. oz.,263288532486,B000BPTVTK,6.12,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885325186464_1.jpg,Liquid Wrench M914 Silicone Spray - 11 oz.,263288532518,B000ABE98I,6.16,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885325746464_1.jpg,"TEKTON 30123 Jacketed Fiberglass Claw Hammer, 16-Ounce",263288532574,B00GD2V3R8,16.17,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885326506464_1.jpg,Nature's Miracle Urine Destroyer Stain and Residue Eliminator,263288532650,B003I5VTRW,22.67,2,-1,2017-10-30,False,,,,monitored,False
