6,"{'custom_label': 'B01IEZDW20', 'no_of_times_sold': -1, 'product_name': b'Vastar Magnetic Wristband With 5 Powerful Magnets for Holding Screws, Nails, Bol', 'date_of_listing': '2017-11-17', 'price': '11.7', 'ebay_id': '263330303098', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633303030986464_1.jpg'}"
7,"{'custom_label': 'B075RWC9JN', 'no_of_times_sold': -1, 'product_name': b'Lopunny Magnetic Wristband with 5 Super Powerful Magnet for Holding Tools Screws', 'date_of_listing': '2017-11-17', 'price': '10.45', 'ebay_id': '263330303543', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633303035436464_1.jpg'}"
8,"{'custom_label': 'B073FXGD3B', 'no_of_times_sold': -1, 'product_name': b'LeftPro Magnetic Wristband Premium Quality Super Strong Magnets Holds Screws Nai', 'date_of_listing': '2017-11-17', 'price': '7.96', 'ebay_id': '263330304899', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633303048996464_1.jpg'}"
9,"{'custom_label': 'B06Y2M6K51', 'no_of_times_sold': -1, 'product_name': b'Magnetic Wristband with Strong Magnets for Holding Screws Nails Drill Bits Best', 'date_of_listing': '2017-11-17', 'price': '9.78', 'ebay_id': '263330305887', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633303058876464_1.jpg'}"
10,"{'custom_label': 'B074MCBG25', 'no_of_times_sold': -1, 'product_name': b'AmazonBasics 4-Panel Plastic Pet Pen', 'date_of_listing': '2018-03-18', 'price': '50.48', 'ebay_id': '263556193351', 'seller_id': 23, 'quantity': '0', 'photo': 'http://thumbs.ebaystatic.com/pict/2635561933516464_1.jpg'}"
1,"{'custom_label': 'B01B37WUXI', 'no_of_times_sold': -1, 'product_name': b'Parkland Pet Portable Foldable Playpen for Dogs', 'date_of_listing': '2018-03-18', 'price': '25.41', 'ebay_id': '263556193391', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2635561933916464_1.jpg'}"
2,"{'custom_label': 'B001W8S4M0', 'no_of_times_sold': -1, 'product_name': b'Prevue Hendryx Cocoa Frisky Ferret & Rabbit Cage', 'date_of_listing': '2018-03-18', 'price': '111.78', 'ebay_id': '263556193759', 'seller_id': 23, 'quantity': '0', 'photo': 'http://thumbs.ebaystatic.com/pict/2635561937596464_1.jpg'}"
3,"{'custom_label': 'B06XTWZ857', 'no_of_times_sold': -1, 'product_name': b'Tespo Pet Playpen, Small Animal Cage Indoor Portable Metal Wire Yard Fence for S', 'date_of_listing': '2018-03-18', 'price': '41.71', 'ebay_id': '263556193826', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2635561938266464_1.jpg'}"
4,"{'custom_label': 'B00L36K7EE', 'no_of_times_sold': -1, 'product_name': b'Necoichi Portable Cat Cage', 'date_of_listing': '2018-03-18', 'price': '50.47', 'ebay_id': '263556194276', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2635561942766464_1.jpg'}"
5,"{'custom_label': 'B0051I5BTQ', 'no_of_times_sold': -1, 'product_name': b'Cecilio MSD Foldable Music Sheet Steel Stand with Carrying Bag', 'date_of_listing': '2018-02-16', 'price': '21.15', 'ebay_id': '263499910967', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2634999109676464_1.jpg'}"
